Date,Open,Close,delta,% delta,mean,median,
2/22/2024,5038.830078,5087.029785,105.230,2.11%,,,
2/23/2024,5100.919922,5088.799805,1.770,0.03%,,,
2/26/2024,5093,5069.529785,-19.270,-0.38%,,,
2/27/2024,5074.600098,5078.180176,8.650,0.17%,,,
2/28/2024,5067.200195,5069.759766,-8.420,-0.17%,,,
2/29/2024,5085.359863,5096.27002,26.510,0.52%,,,
3/1/2024,5098.509766,5137.080078,40.810,0.80%,,,
3/4/2024,5130.990234,5130.950195,-6.130,-0.12%,,,
3/5/2024,5110.52002,5078.649902,-52.300,-1.02%,,,
3/6/2024,5108.029785,5104.759766,26.110,0.51%,,,
3/7/2024,5132.379883,5157.359863,52.600,1.03%,,,
3/8/2024,5164.459961,5123.689941,-33.670,-0.65%,,,
3/11/2024,5111.959961,5117.939941,-5.750,-0.11%,,,
3/12/2024,5134.299805,5175.27002,57.330,1.12%,,,
3/13/2024,5173.490234,5165.310059,-9.960,-0.19%,,,
3/14/2024,5175.140137,5150.47998,-14.830,-0.29%,,,
3/15/2024,5123.310059,5117.089844,-33.390,-0.65%,,,
3/18/2024,5154.77002,5149.419922,32.330,0.63%,,,
3/19/2024,5139.089844,5178.509766,29.090,0.56%,,,
3/20/2024,5181.689941,5224.620117,46.110,0.89%,,,
3/21/2024,5253.430176,5241.529785,16.910,0.32%,,,
3/22/2024,5242.47998,5234.180176,-7.350,-0.14%,,,
3/25/2024,5219.52002,5218.189941,-15.990,-0.31%,,,
3/26/2024,5228.850098,5203.580078,-14.610,-0.28%,,,
3/27/2024,5226.310059,5248.490234,44.910,0.86%,,,
3/28/2024,5248.029785,5254.350098,5.860,0.11%,,,
4/1/2024,5257.970215,5243.77002,-10.580,-0.20%,,,
4/2/2024,5204.290039,5205.810059,-37.960,-0.72%,,,
4/3/2024,5194.370117,5211.490234,5.680,0.11%,,,
4/4/2024,5244.049805,5147.209961,-64.280,-1.23%,,,
4/5/2024,5158.950195,5204.339844,57.130,1.11%,,,
4/8/2024,5211.370117,5202.390137,-1.950,-0.04%,,,
4/9/2024,5217.029785,5209.910156,7.520,0.14%,,,
4/10/2024,5167.879883,5160.640137,-49.270,-0.95%,,,
4/11/2024,5172.950195,5199.060059,38.420,0.74%,,,
4/12/2024,5171.509766,5123.410156,-75.650,-1.46%,,,
4/15/2024,5149.669922,5061.819824,-61.590,-1.20%,,,
4/16/2024,5064.589844,5051.410156,-10.410,-0.21%,,,
4/17/2024,5068.970215,5022.209961,-29.200,-0.58%,,,
4/18/2024,5031.52002,5011.120117,-11.090,-0.22%,,,
4/19/2024,5005.439941,4967.22998,-43.890,-0.88%,,,
4/22/2024,4987.330078,5010.600098,43.370,0.87%,,,
4/23/2024,5028.850098,5070.549805,59.950,1.20%,,,
4/24/2024,5084.859863,5071.629883,1.080,0.02%,,,
4/25/2024,5019.879883,5048.419922,-23.210,-0.46%,,,
4/26/2024,5084.649902,5099.959961,51.540,1.02%,,,
4/29/2024,5114.129883,5116.169922,16.210,0.32%,,,
4/30/2024,5103.779785,5035.689941,-80.480,-1.57%,,,
5/1/2024,5029.029785,5018.390137,-17.300,-0.34%,,,
5/2/2024,5049.319824,5064.200195,45.810,0.91%,,,
5/3/2024,5122.779785,5127.790039,63.590,1.26%,,,
5/6/2024,5142.419922,5180.740234,52.950,1.03%,,,
